what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.pde.p2.ui,1.0.0.v20080604-2000,org.eclipse.pde.p2.ui,1254212175218
stopped,bundle,org.eclipse.pde.runtime,3.4.0.v20080723-1000,org.eclipse.pde.runtime,1254212175218
stopped,bundle,org.eclipse.mylyn.pde.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.pde.ui,1254212175218
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080730_r341,org.eclipse.pde.api.tools.ui,1254212175218
stopped,bundle,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui,1254212175218
stopped,bundle,org.eclipse.sdk,3.4.2.v200902111700,org.eclipse.sdk,1254212175218
stopped,bundle,org.eclipse.ui.cheatsheets,3.3.101.v20080702_34x,org.eclipse.ui.cheatsheets,1254212175218
stopped,bundle,org.eclipse.epp.usagedata.ui,1.0.1.R200809220400,org.eclipse.epp.usagedata.ui,1254212175218
stopped,bundle,org.eclipse.ecf.doc,1.3.0.v20081224-1728,org.eclipse.ecf.doc,1254212175218
stopped,bundle,org.eclipse.ui.intro.universal,3.2.200.v20080508,org.eclipse.ui.intro.universal,1254212175234
stopped,bundle,org.eclipse.ui.intro,3.2.201.v20080702_34x,org.eclipse.ui.intro,1254212175234
stopped,bundle,org.eclipse.help.webapp,3.3.101.M20080805_34x,org.eclipse.help.webapp,1254212175234
stopped,bundle,org.eclipse.help.ui,3.3.102.v20081014_34x,org.eclipse.help.ui,1254212175234
stopped,bundle,org.eclipse.help.base,3.3.103.v20090128_34x,org.eclipse.help.base,1254212175234
stopped,bundle,org.eclipse.equinox.http.jetty,1.1.0.v20080425,org.eclipse.equinox.http.jetty,1254212175234
stopped,bundle,org.eclipse.equinox.http.servlet,1.0.100.v20080427-0830,org.eclipse.equinox.http.servlet,1254212175234
stopped,bundle,org.eclipse.ecf.provider.r_osgi,2.0.100.v20081224-1728,org.eclipse.ecf.provider.r_osgi,1254212175234
stopped,bundle,ch.ethz.iks.r_osgi.remote,1.0.0.RC2_v20081224-1728,ch.ethz.iks.r_osgi.remote,1254212175234
stopped,bundle,org.eclipse.dd.debug.memory.renderings.traditional,1.0.0.v20080609,org.eclipse.dd.debug.memory.renderings.traditional,1254212175234
stopped,bundle,org.eclipse.gef.examples.shapes,3.4.0.v20080226,org.eclipse.gef.examples.shapes,1254212175234
stopped,bundle,org.eclipse.gef.examples.flow,3.4.0.v20080226,org.eclipse.gef.examples.flow,1254212175234
stopped,bundle,org.eclipse.gef.examples.logic,3.4.0.v20080526,org.eclipse.gef.examples.logic,1254212175234
